Confusion matrix:
(r , p) | count
(0 , 0) | 3001
(0 , 1) | 846
(0 , 2) | 33
(0 , 3) | 1806
(0 , 4) | 793
(0 , 5) | 341
(0 , 6) | 860
(1 , 0) | 243
(1 , 1) | 6856
(1 , 2) | 149
(1 , 3) | 545
(1 , 4) | 227
(1 , 5) | 193
(1 , 6) | 37
(2 , 0) | 9
(2 , 1) | 607
(2 , 2) | 3531
(2 , 3) | 2919
(2 , 4) | 291
(2 , 5) | 627
(2 , 6) | 716
(3 , 0) | 167
(3 , 1) | 14
(3 , 2) | 0
(3 , 3) | 7709
(3 , 4) | 526
(3 , 5) | 16
(3 , 6) | 148
(4 , 0) | 56
(4 , 1) | 548
(4 , 2) | 124
(4 , 3) | 1562
(4 , 4) | 5982
(4 , 5) | 37
(4 , 6) | 1
(5 , 0) | 920
(5 , 1) | 516
(5 , 2) | 307
(5 , 3) | 1102
(5 , 4) | 393
(5 , 5) | 4114
(5 , 6) | 418
(6 , 0) | 400
(6 , 1) | 5
(6 , 2) | 20
(6 , 3) | 69
(6 , 4) | 353
(6 , 5) | 369
(6 , 6) | 7064
