
Confusion matrix:
(r , p) | count
(0 , 0) | 6871
(0 , 1) | 35
(0 , 2) | 52
(0 , 3) | 221
(0 , 4) | 237
(0 , 5) | 9
(0 , 6) | 37
(0 , 7) | 111
(0 , 8) | 536
(0 , 9) | 770
(1 , 0) | 0
(1 , 1) | 1804
(1 , 2) | 83
(1 , 3) | 0
(1 , 4) | 1
(1 , 5) | 0
(1 , 6) | 98
(1 , 7) | 482
(1 , 8) | 370
(1 , 9) | 23
(2 , 0) | 1942
(2 , 1) | 8
(2 , 2) | 1553
(2 , 3) | 705
(2 , 4) | 1392
(2 , 5) | 24
(2 , 6) | 0
(2 , 7) | 160
(2 , 8) | 1072
(2 , 9) | 1154
(3 , 0) | 353
(3 , 1) | 0
(3 , 2) | 413
(3 , 3) | 2675
(3 , 4) | 1369
(3 , 5) | 939
(3 , 6) | 0
(3 , 7) | 82
(3 , 8) | 818
(3 , 9) | 1151
(4 , 0) | 0
(4 , 1) | 0
(4 , 2) | 310
(4 , 3) | 808
(4 , 4) | 6015
(4 , 5) | 0
(4 , 6) | 0
(4 , 7) | 280
(4 , 8) | 13
(4 , 9) | 404
(5 , 0) | 703
(5 , 1) | 0
(5 , 2) | 206
(5 , 3) | 331
(5 , 4) | 1203
(5 , 5) | 1516
(5 , 6) | 0
(5 , 7) | 4
(5 , 8) | 129
(5 , 9) | 4548
(6 , 0) | 12
(6 , 1) | 1285
(6 , 2) | 3
(6 , 3) | 2
(6 , 4) | 18
(6 , 5) | 0
(6 , 6) | 730
(6 , 7) | 1392
(6 , 8) | 3984
(6 , 9) | 74
(7 , 0) | 71
(7 , 1) | 985
(7 , 2) | 20
(7 , 3) | 46
(7 , 4) | 305
(7 , 5) | 2
(7 , 6) | 531
(7 , 7) | 2073
(7 , 8) | 2786
(7 , 9) | 681
(8 , 0) | 24
(8 , 1) | 1291
(8 , 2) | 35
(8 , 3) | 94
(8 , 4) | 612
(8 , 5) | 40
(8 , 6) | 889
(8 , 7) | 808
(8 , 8) | 3902
(8 , 9) | 105
(9 , 0) | 208
(9 , 1) | 0
(9 , 2) | 6
(9 , 3) | 60
(9 , 4) | 32
(9 , 5) | 72
(9 , 6) | 0
(9 , 7) | 42
(9 , 8) | 21
(9 , 9) | 8559
